group,model,a,b,tau,L,N,density,step,time_s,mean_velocity
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,23500,23.5,0.555335561843625
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,24000,24.0,0.594008527938777
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,24500,24.5,0.426794132523889
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,25000,25.0,0.5108503279049184
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,25500,25.5,0.5512736115952535
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,26000,26.0,0.5469933814758167
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,26500,26.5,0.5473411297686879
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,27000,27.0,0.48195132687531056
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,27500,27.5,0.36887540337173996
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,28000,28.0,0.5234048444586608
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,28500,28.5,0.48547657276009293
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,29000,29.0,0.5148530502852926
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,29500,29.5,0.453288571825268
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,30000,30.0,0.6011036946491968
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,30500,30.5,0.4619422954797214
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,31000,31.0,0.5937584097627814
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,31500,31.5,0.5061300480485682
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,32000,32.0,0.525160765648295
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,32500,32.5,0.5189139671331273
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,33000,33.0,0.5255971313519981
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,33500,33.5,0.47893893830205814
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,34000,34.0,0.46221883765438115
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,34500,34.5,0.5847375812123293
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,35000,35.0,0.45642805988380986
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,35500,35.5,0.5457375154410394
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,36000,36.0,0.5134151458747477
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,36500,36.5,0.43934987369166284
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,37000,37.0,0.5439238043390724
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,37500,37.5,0.46522488070018103
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,38000,38.0,0.5250842256881249
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,38500,38.5,0.5677000989495742
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,39000,39.0,0.5277999582561834
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,39500,39.5,0.5175586841141784
C_tau_transient,HardBodyModel,0.36,0.56,0.3,17.3,20,1.1560693641618496,40000,40.0,0.5026632843779706
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,0,0.0,0.0
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,500,0.5,0.3904971456316066
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,1000,1.0,0.46532361542893225
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,1500,1.5,0.4860557631405066
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,2000,2.0,0.47378872495308333
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,2500,2.5,0.4560940494981579
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,3000,3.0,0.4522951600475932
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,3500,3.5,0.5199471866191492
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,4000,4.0,0.439065637834542
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,4500,4.5,0.6102766029172386
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,5000,5.0,0.4719086090584873
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,5500,5.5,0.48278117864410575
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,6000,6.0,0.4861763369981123
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,6500,6.5,0.5344813944476552
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,7000,7.0,0.4593081153210104
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,7500,7.5,0.4481700492043938
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,8000,8.0,0.48957760515997134
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,8500,8.5,0.40068930586117757
