case,b,N,rho,mean_velocity,std_velocity,observation
Hard body,0.56,21,1.2138728323699421,0.44211204191428877,0.04823600692292343,Dynamic-space baseline
Remote force,0.56,21,1.2138728323699421,0.41763760272540074,0.0003580485995152523,Similar macroscopic behavior
Remote force,0.0,20,1.1560693641618496,0.7923918461805546,0.020447584038470957,Before velocity gap
Remote force,0.0,21,1.2138728323699421,0.7184625097831062,0.01903880864439174,Density-wave region
